temperature,pressure,rpm,vibration,battery_voltage,battery_current,battery_temp,fault_count,engine_health,battery_health,vehicle_health,ml_health_score,trip_readiness,health_class,health_class_id,failure
89.5707562,27.28829412,2702.563608,0.168290346,12.06014359,33.72273588,23.63213509,9,80,77.73092292,79.31927688,14.650763,65.13775071,Good,1,0
69.40023841,26.00473373,3216.174722,0.697599508,12.86189284,35.8630325,33.7429054,1,80,100,86,19.137293,89.6,Good,1,0
96.25676794,32.60405894,2718.657005,0.244554986,12.63516718,53.79452358,38.64729137,2,87.48646413,100,91.24052489,14.506186,90.74431493,Excellent,0,0
99.10847075,31.51112649,4291.065333,0.441129183,12.85968126,68.0817792,17.10325978,9,46.55313966,100,62.58719776,2.3267925,59.55231866,Warning,2,0
55.73447217,21.57125071,3643.829962,0.740805772,13.02389085,26.68086147,34.46398292,3,66.28500286,100,76.399502,24.863546,79.8397012,Good,1,0
65.4673074,36.73606953,2253.977788,0.587543146,12.09086452,46.04104736,23.77735913,5,70.8304569,78.99816133,73.28076823,25.600946,69.7680932,Warning,2,0
86.91760605,29.43483255,2245.578053,0.740805772,12.99958866,45.11526737,37.34620165,4,75,100,82.5,21.381533,81.5,Good,1,0
80.25636111,23.33441343,2875.757376,0.133431333,11.81379774,58.3591821,34.80599214,2,93.33765371,67.56915667,85.6071046,19.30874,80.8780941,Good,1,0
84.74798264,37.13270469,1829.584656,0.043794781,12.69844013,49.8260326,42.43501602,5,90,100,93,12.938285,85.8,Excellent,0,0
72.20434109,33.75405343,3433.030645,0.108237029,12.20266491,39.08232832,45.6682293,7,80,81.33794808,80.40138442,13.831579,70.50842027,Good,1,0
98.19096962,22.41274805,2789.280417,0.021222356,12.02787994,74.97131562,39.58989899,0,73.26905295,76.40004765,74.20835136,99.580505,79.80502034,Warning,2,0
96.66687903,40.66309704,2705.167129,0.030744972,12.64578795,39.21485037,43.60393589,8,66.66624194,100,76.66636936,16.85328,69.99982161,Good,1,0
85.99046046,33.95278421,3049.562934,0.005628659,12.77798061,44.15807274,31.49657524,1,100,100,100,19.392086,98,Excellent,0,0
101.9086181,29.93882331,3878.263907,0.000366671,12.76610735,18.17004728,61.51969806,9,60,66,61.8,1.3866603,52.28,Warning,2,0
92.01264013,39.54131283,2636.764282,0.5791174,12.48594396,35.72748246,22.81180904,9,57.3668931,95.29518817,68.74538162,5.7611647,62.3062666,Warning,2,0
72.11061306,30.9557867,2409.567703,0.740805772,12.45278292,60.32152153,29.72244222,9,60,93.92729547,70.17818864,7.2017136,62.89237228,Warning,2,0
90.53126176,29.83150155,3706.975699,0.279856664,12.61074663,56.41203913,44.01358583,6,83.93747648,100,88.75623353,13.435298,81.25374012,Good,1,0
70.61676099,26.0381993,3274.040333,0.215346619,12.52150563,61.9903398,42.52721305,9,80,96.76210725,85.02863217,15.246505,72.36960075,Good,1,0
98.17675452,33.49110264,2243.216128,0.169153766,12.61654234,61.01964572,39.87389019,8,63.64649096,100,74.55254367,16.54427,68.7315262,Warning,2,0
84.25111134,32.8596178,2504.149159,0.740805772,12.48159978,91.75428073,41.75318658,6,65,75.72142791,68.21642837,11.028129,64.07414261,Warning,2,0
82.22706455,30.08808084,2656.304733,0.097088612,12.73711353,35.04282345,14.16442845,8,80,100,86,19.783419,75.6,Good,1,0
74.78605683,25.26008188,2789.450356,0.380362609,11.74911688,17.61152513,50.89298695,3,94.64249276,46.96384439,80.33889825,21.291887,71.59610783,Good,1,0
103.3381201,30.77957912,1414.720119,0.068488622,12.34749061,28.98894008,32.96109041,8,60,89.58398766,68.8751963,2.3858488,63.24191531,Warning,2,0
82.68205777,29.58120729,1266.012314,0.069999995,11.8464614,35.92696328,47.45894182,9,80,60.55613065,74.1668392,6.121242,58.61132965,Warning,2,0
78.57508267,21.99915409,1790.087982,0.307291038,12.51068081,30.51346127,14.66473421,6,72.51054715,96.31558329,79.65205799,22.15603,75.05435145,Good,1,0
79.71799674,21.16912589,1728.209246,0.3622931,13.05677207,51.87321695,37.56568503,1,80.52363021,100,86.36654115,24.402285,89.81992469,Good,1,0
92.98463778,33.39092027,1984.940789,0.030850996,12.21036609,75.05309811,29.36497721,2,94.03072443,83.9276011,90.99978743,17.961098,87.38539268,Excellent,0,0
90.48166097,14.38867011,3007.768514,0.267936224,12.45090081,80.79318146,40.72120152,1,69.03667807,92.54090909,76.08794738,17.470497,82.16095024,Good,1,0
91.19098917,31.23246316,2364.856675,0.252440861,12.70259469,60.08617004,38.17070452,5,87.61802165,100,91.33261516,17.470497,84.79956909,Excellent,0,0
91.46231505,27.13150165,2657.115684,0.054173022,11.57291083,92.82544431,38.66047797,4,92.07536991,45.83801689,78.204164,17.09106,68.09010178,Good,1,0
117.124714,37.84947964,1520.557272,0.640132768,12.19115581,42.87253887,24.41058312,8,30,83.13517704,45.94055311,2.0158052,48.19136728,Critical,3,1
78.90377475,27.03919075,2130.686238,0.169733278,12.54580626,17.34961916,34.43030879,2,100,97.76450838,99.32935251,19.392086,95.15051318,Excellent,0,0
77.31635906,33.95690529,2969.806129,0.105517676,11.32769981,71.06356136,33.19832952,1,100,67,90.1,19.657219,85.46,Excellent,0,0
72.79340908,27.61851695,2975.961967,0.103125168,12.0092766,13.22811217,39.95310042,6,85,75.63265986,82.18979796,19.30874,72.44041075,Good,1,0
94.23969134,30.68248892,1920.340937,0.106907255,12.84034319,34.89993955,44.89296995,1,91.52061732,100,94.06443213,16.85328,94.43865928,Excellent,0,0
101.9345844,34.42101919,2629.329909,0.012506341,12.80119876,60.40224465,36.50475922,9,60,100,72,2.515155,65.2,Warning,2,0
83.29078814,27.2246657,4259.078283,0.349212564,12.54972729,47.9523704,22.23827712,0,91.53759678,97.92625075,93.45419297,99.74526,95.65776593,Excellent,0,0
72.39765285,35.97932931,2485.921657,0.740221932,12.75287906,46.18094474,36.0757881,4,75,100,82.5,19.137293,81.5,Good,1,0
72.63278176,24.03781274,1945.450443,0.537544854,12.48604169,26.38419934,61.11076228,9,60.31492733,61.29921987,60.61021509,1.8435776,50.62597303,Warning,2,0
94.75889182,31.76755706,2360.990089,0.115267525,12.62215796,49.78395221,51.46005327,5,80.48221637,78.03581888,79.74829712,13.129557,73.45614205,Good,1,0
96.14881257,35.53583834,2573.741686,0.315558768,12.27373852,70.07324977,10,8,66.6651237,86.5417138,72.62810073,16.134876,64.8852032,Warning,2,0
93.14731402,33.96022495,2379.065295,0.102750797,12.44632507,50.39935833,35.63343154,4,88.70537195,93.66090927,90.19203315,16.54427,84.84740174,Excellent,0,0
75.01735439,41.49866926,2474.916239,0.03985058,12.14705185,33.39548241,44.32119525,7,80,81.31588862,80.39476659,17.475641,70.50003768,Good,1,0
88.48241985,25.4193641,1345.242562,0.114135968,12.90539334,25.04923079,33.17672987,7,80,100,86,17.713797,77.6,Good,1,0
86.75028714,21.72510449,1729.89562,0.117022722,13.00862376,33.80810834,30.3990908,5,76.90041797,100,83.83029258,19.392086,80.29817555,Good,1,0
88.28032895,24.03398935,2380.53181,0.049083589,12.95196512,57.84667505,32.33035785,1,96.1359574,100,97.29517018,19.392086,96.37710211,Excellent,0,0
98.07143167,33.9626554,2367.785624,0.125567566,12.2367565,56.87204525,40.52189485,9,63.85713666,85.01620543,70.20485729,6.8177643,61.12615546,Warning,2,0
88.35393323,32.98753761,2047.04858,0.149946749,12.01849038,33.98985799,23.51530026,0,100,76.01272835,92.80381851,99.68493,90.88483677,Excellent,0,0
95.18370345,30.61353996,2358.389131,0.073764852,12.91078946,5.78481156,46.88688652,3,89.63259311,93.58458585,90.81819093,16.85328,87.20783173,Excellent,0,0
86.01368604,23.26225771,2548.811884,0.013689917,12.61756288,58.40025527,34.44007008,6,78.04903082,100,84.63432158,17.713797,78.78059295,Good,1,0
89.33679098,34.60120376,3211.530765,0.063082651,12.53143374,32.04585202,25.64975726,7,80,97.17164164,85.15149249,19.392086,76.52522382,Good,1,0
94.46932339,22.65177133,2420.630612,0.513342024,12.14654717,63.78124958,46.24350161,5,57.44563696,77.06716511,63.3320954,3.8787603,63.41269027,Warning,2,0
63.1426627,36.95369749,2819.282564,0.203846189,12.57026553,34.87780716,19.54869095,4,95,98.77345291,96.13203587,20.457024,89.43391211,Excellent,0,0
80.20493175,46.27618223,2066.719759,0.09438523,11.96588878,30.24199093,29.44789903,4,95,73.84291202,88.6528736,19.657219,79.96030657,Good,1,0
77.94441019,32.19870688,2957.676579,0.074161621,12.65362494,53.06343815,29.28324935,9,80,100,86,19.392086,73.6,Good,1,0
75.41683228,33.49864881,2800.584238,0.255021256,12.95155468,97.1539846,56.43941938,3,100,37.69592541,81.30877762,17.715132,70.32445166,Good,1,0
80.87286623,27.04284139,3192.653603,0.050136138,13.05241822,64.98059982,28.14979231,8,80,100,86,19.392086,75.6,Good,1,0
107.4241197,19.13872007,3070.76837,0.060994384,12.68340962,52.72438598,13.45034779,0,60,100,72,99.43082,83.2,Warning,2,0
72.01253326,26.38368382,2970.988498,0.441139554,11.84719138,57.17703073,29.18184885,6,75.59069643,68.94664443,73.59748083,21.44745,65.94781738,Warning,2,0
99.52417532,23.44262855,2421.266073,0.142719649,12.47893205,14.97768277,39.55550347,6,59.72216358,95.00594716,70.30729865,3.5469651,69.18556862,Warning,2,0
59.75695343,21.31797254,2695.951382,0.042277643,13.2558727,27.55319258,42.84084547,6,70.27189017,100,79.19032312,19.392086,75.51419387,Good,1,0
79.97672455,40.33415965,3350.807143,0.006781411,12.05255536,0,57.76539693,4,95,43.41790876,79.52537263,16.708267,68.39880533,Good,1,0
87.44129598,31.63717511,1978.340344,0.740805772,12.37632737,84.59747789,49.06897571,6,65,69.35314811,66.30594443,6.005245,61.65419628,Warning,2,0
93.79333497,32.27812548,1997.273777,0.000516067,12.96540974,80.54772058,36.87922594,4,87.41333006,99.09626104,90.91820935,12.938285,86.37017782,Excellent,0,0
95.6683987,28.14586581,2645.145118,0.180819265,12.64685357,57.85637052,26.08584532,5,78.66320261,100,85.06424182,14.993679,81.03854509,Good,1,0
96.90020853,28.96277351,2832.223752,0.25377097,13.39206253,52.70230206,51.24027431,8,66.19958294,78.78306733,69.97462826,8.109415,61.74139042,Warning,2,0
79.76912392,35.78730409,1840.714801,0.194113847,12.10685225,18.96819995,31.3143645,6,85,79.65765518,83.39729655,19.30874,73.96990897,Good,1,0
78.06472311,29.80597729,2440.189949,0.117478166,12.00409769,45.61400079,28.41842764,7,80,75.41902954,78.62570886,19.657219,68.25923122,Good,1,0
97.86963822,33.18416363,2424.800981,0.460891613,12.88965017,85.84783757,30.82926198,9,53.534616,90.35106801,64.5795516,2.456969,58.81794457,Warning,2,0
82.13043513,28.82397421,727.7759075,0.512272764,11.92164855,52.62831996,22.47711761,2,85.84848238,72.01800263,81.69933845,25.600946,79.4232036,Good,1,0
65.86470515,27.94708266,2324.324809,0.123420019,12.3212928,38.70707068,30.34979909,5,90,88.50332818,89.55099846,20.138336,81.43126471,Good,1,0
68.00069179,21.55851501,2374.145734,0.170188769,12.37374138,14.8385868,32.6689167,6,71.23406003,90.66683201,77.06389162,20.138336,72.37170137,Good,1,0
71.20821571,18.13350563,2371.765646,0.17209299,12.81439579,77.60611455,42.30656606,6,65,100,75.5,19.392086,73.3,Good,1,0
92.45741116,28.43062859,3632.73142,0.266668218,12.64570719,48.59832398,31.11911665,1,95.08517768,100,96.55962437,17.86177,95.93577462,Excellent,0,0
87.13638604,30.33898015,1527.361361,0.05250611,12.58282597,14.86532293,22.32540758,7,80,99.29157108,85.78747133,19.392086,77.33079701,Good,1,0
95.35728031,22.28321978,1840.301943,0.015671447,12.23902765,31.51468636,18.96227845,1,78.4183185,85.10989051,80.4257901,19.657219,83.27745216,Good,1,0
78.5912103,29.79315081,500,0.129222132,12.88600161,24.44923965,37.09569748,4,95,100,96.5,19.392086,89.9,Excellent,0,0
87.37809537,30.32251538,2115.266667,0.026330936,13.46987961,47.36512949,35.72625853,7,80,100,86,17.233616,77.6,Good,1,0
94.38385591,17.06395196,2183.485157,0.150572267,12.67651284,54.14677939,29.45687289,2,71.23228818,100,79.86260173,17.713797,83.91756104,Good,1,0
80.3598019,24.50925204,2092.018259,0.376484864,12.43986888,39.93565871,30.3254354,1,92.93801725,93.39459142,93.0749895,24.402285,92.52391198,Excellent,0,0
91.85162856,32.44358336,3386.141872,0.145225554,11.88085481,65.54093193,38.88486933,6,81.29674287,70.33526098,78.0082983,17.09106,68.87203118,Good,1,0
75.07111088,32.32235238,3188.494018,0.179774238,12.14500742,51.57604481,48.90546254,2,100,67.95298346,90.38589504,17.09106,83.82213372,Excellent,0,0
79.5541923,23.0779505,2562.285379,0.213187763,12.31451591,71.24624771,27.19855416,8,72.31180201,88.22378114,77.08539575,19.701874,67.89599368,Good,1,0
79.27393159,30.9506883,2203.509557,0.319079493,12.1861599,42.85611844,35.88902836,8,78.72803378,82.92909604,79.98835246,21.639776,68.57883068,Good,1,0
67.06240532,36.13444335,3320.951734,0.198749181,12.39356887,103.2034723,44.58270404,3,100,58.48471573,87.54541472,19.657219,78.22419198,Good,1,0
92.30458721,34.66243775,2484.193712,0.13011607,13.11120643,38.71022553,27.2388571,7,75.39082558,100,82.7735779,19.392086,75.66414674,Good,1,0
77.9589649,29.42828528,1845.383969,0.124942264,12.89886677,31.93340016,34.84367885,2,100,100,100,19.392086,96,Excellent,0,0
85.18741178,27.19214212,1127.001058,0.048522079,12.33646691,29.473989,34.62004397,9,80,89.12926018,82.73877805,19.392086,69.46911887,Good,1,0
