engine_temperature,engine_pressure,engine_rpm,engine_vibration,battery_voltage,battery_current,battery_temperature,fault_count,engine_health,battery_health,vehicle_health,ml_health_score,trip_readiness,health_class,health_class_id,failure,Vehicle_ID,Failure_Probability,Failure_Risk_Percentage,Urgency,Remaining_Useful_Life_Cycles,Remaining_Useful_Life_KM,Top_Risk_Sensor,Top_Risk_SHAP_Value,Affected_System,Recommended_Action,Reason,Book_Service_Within_Days,Maintenance_Priority,Prediction_Timestamp
89.57075619631647,27.28829412087895,2702.56360823628,0.1682903461466361,12.060143585945646,33.72273588296507,23.63213508946296,9.0,80.0,77.73092292025788,79.31927687607737,14.650763,65.137750709698,Good,1,0,Vehicle_0001,0.0004,0.0%,LOW,124,2480,temperature,-6.0787,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-6.079),31,Low,2026-06-28 20:56:19
69.40023840639256,26.004733733277384,3216.1747217809443,0.6975995075234804,12.861892841018063,35.86303249901402,33.74290540281275,1.0,80.0,100.0,86.0,19.137293,89.6,Good,1,0,Vehicle_0002,0.0002,0.0%,LOW,124,2480,temperature,-3.7461,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-3.746),31,Low,2026-06-28 20:56:19
96.25676793709684,32.60405894070064,2718.657005229499,0.2445549857456085,12.63516717836545,53.79452358397273,38.64729137292704,2.0,87.4864641258063,100.0,91.2405248880644,14.506186,90.74431493283863,Excellent,0,0,Vehicle_0003,0.0003,0.0%,LOW,124,2480,temperature,-3.831,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-3.831),31,Low,2026-06-28 20:56:19
99.1084707458682,31.511126491770032,4291.065333131539,0.4411291827748473,12.859681255068216,68.0817791978744,17.103259776118794,9.0,46.553139660643,100.0,62.587197762450096,2.3267925,59.55231865747005,Warning,2,0,Vehicle_0004,0.0059,0.6%,LOW,124,2480,temperature,-6.493,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-6.493),31,Low,2026-06-28 20:56:19
55.73447217019245,21.571250714338035,3643.829961976335,0.7408057715024521,13.023890853000516,26.680861472840306,34.46398292139539,3.0,66.28500285735214,100.0,76.3995020001465,24.863546,79.83970120008789,Good,1,0,Vehicle_0005,0.0002,0.0%,LOW,124,2480,temperature,-3.7461,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-3.746),31,Low,2026-06-28 20:56:19
65.46730739706523,36.73606952738243,2253.9777882263875,0.5875431464834807,12.090864517144094,46.04104736129961,23.77735912785969,5.0,70.83045690110129,78.99816133219389,73.28076823042906,25.600946,69.76809320469621,Warning,2,0,Vehicle_0006,0.0002,0.0%,LOW,124,2480,temperature,-3.7627,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-3.763),31,Low,2026-06-28 20:56:19
86.91760604750928,29.434832547895,2245.5780529543445,0.7408057715024521,12.999588664976349,45.11526736591122,37.34620165089654,4.0,75.0,100.0,82.5,21.381533,81.5,Good,1,0,Vehicle_0007,0.0002,0.0%,LOW,124,2480,temperature,-3.7763,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-3.776),31,Low,2026-06-28 20:56:19
80.25636111484627,23.33441342870568,2875.7573755882827,0.1334313327995889,11.81379773752844,58.359182100855286,34.80599214300175,2.0,93.33765371482272,67.5691566730481,85.60710460229032,19.30874,80.87809409598381,Good,1,0,Vehicle_0008,0.0002,0.0%,LOW,124,2480,temperature,-3.7912,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-3.791),31,Low,2026-06-28 20:56:19
84.74798263743567,37.13270468612325,1829.584655659452,0.0437947809477375,12.69844013381796,49.826032599823314,42.43501602429573,5.0,90.0,100.0,93.0,12.938285,85.8,Excellent,0,0,Vehicle_0009,0.0003,0.0%,LOW,124,2480,temperature,-3.8394,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-3.839),31,Low,2026-06-28 20:56:19
72.2043410863963,33.75405342957692,3433.030645225989,0.1082370293335547,12.202664914160012,39.08232832394281,45.66822930187519,7.0,80.0,81.33794808272485,80.40138442481745,13.831579,70.50842027143544,Good,1,0,Vehicle_0010,0.0003,0.0%,LOW,124,2480,temperature,-5.8089,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-5.809),31,Low,2026-06-28 20:56:19
98.19096962294245,22.412748048312515,2789.280417474867,0.021222355924448,12.027879942944274,74.97131561514811,39.58989899274029,0.0,73.2690529473652,76.4000476464513,74.20835135709103,99.580505,79.80502034354488,Warning,2,0,Vehicle_0011,0.0002,0.0%,LOW,124,2480,temperature,-3.7882,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-3.788),31,Low,2026-06-28 20:56:19
96.66687903143422,40.66309704154634,2705.1671286868263,0.0307449717565139,12.645787946921777,39.2148503675836,43.60393588970575,8.0,66.66624193713156,100.0,76.66636935599209,16.85328,69.99982161359526,Good,1,0,Vehicle_0012,0.0005,0.1%,LOW,124,2480,temperature,-5.9391,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-5.939),31,Low,2026-06-28 20:56:19
85.99046046341824,33.95278421019716,3049.562934216653,0.0056286585470986,12.777980610067686,44.158072739570926,31.49657524076161,1.0,100.0,100.0,100.0,19.392086,98.0,Excellent,0,0,Vehicle_0013,0.0003,0.0%,LOW,124,2480,temperature,-3.8394,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-3.839),31,Low,2026-06-28 20:56:19
101.90861810452049,29.938823306249724,3878.263906695247,0.0003666705869735,12.76610735465862,18.17004728160753,61.519698055824975,9.0,60.0,66.0,61.8,1.3866603,52.28,Warning,2,0,Vehicle_0014,0.0143,1.4%,LOW,123,2460,temperature,-6.553,Cooling system,Inspect coolant level and radiator,temperature signal is elevated (SHAP=-6.553),30,Low,2026-06-28 20:56:19
